SEASON_ID,TEAM_ID_A,TEAM_ABBREVIATION_A,TEAM_NAME_A,GAME_ID,GAME_DATE,MATCHUP,WL_A,MIN_A,FGM_A,FGA_A,FG_PCT_A,FG3M_A,FG3A_A,FG3_PCT_A,FTM_A,FTA_A,FT_PCT_A,OREB_A,DREB_A,REB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,PLUS_MINUS_A,TEAM_ID_B,TEAM_ABBREVIATION_B,TEAM_NAME_B,WL_B,MIN_B,FGM_B,FGA_B,FG_PCT_B,FG3M_B,FG3A_B,FG3_PCT_B,FTM_B,FTA_B,FT_PCT_B,OREB_B,DREB_B,REB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,PLUS_MINUS_B
21997.0,1611661314.0,CHA,Charlotte Sting,1029700023,1997-07-05,CHA vs. LAS,W,0.0,31.0,58.0,0.534,3.0,10.0,0.3,13.0,20.0,0.65,8.0,23.0,31.0,26.0,8.0,4.0,0.0,12.0,78.0,12.0,1611661320.0,LAS,Los Angeles Sparks,L,0.0,27.0,60.0,0.45,2.0,11.0,0.182,10.0,16.0,0.625,7.0,21.0,28.0,19.0,9.0,3.0,0.0,17.0,66.0,-12.0
21997.0,1611661319.0,UTA,Utah Starzz,1029700024,1997-07-05,UTA vs. NYL,L,0.0,17.0,68.0,0.25,0.0,12.0,0.0,19.0,26.0,0.731,20.0,25.0,45.0,12.0,14.0,2.0,0.0,24.0,53.0,-13.0,1611661313.0,NYL,New York Liberty,W,0.0,19.0,55.0,0.345,6.0,16.0,0.375,22.0,29.0,0.759,11.0,29.0,40.0,11.0,11.0,2.0,0.0,21.0,66.0,13.0
21997.0,1611661318.0,SAC,Sacramento Monarchs,1029700025,1997-07-06,SAC vs. CLE,W,0.0,25.0,59.0,0.424,4.0,15.0,0.267,16.0,20.0,0.8,12.0,14.0,26.0,13.0,11.0,1.0,0.0,17.0,70.0,3.0,1611661315.0,CLE,Cleveland Rockers,L,0.0,28.0,53.0,0.528,2.0,5.0,0.4,9.0,13.0,0.692,8.0,23.0,31.0,17.0,7.0,3.0,0.0,17.0,67.0,-3.0
21997.0,1611661317.0,PHO,Phoenix Mercury,1029700026,1997-07-07,PHO vs. NYL,W,0.0,21.0,67.0,0.313,3.0,9.0,0.333,24.0,33.0,0.727,14.0,33.0,47.0,20.0,14.0,4.0,0.0,16.0,69.0,19.0,1611661313.0,NYL,New York Liberty,L,0.0,19.0,64.0,0.297,0.0,17.0,0.0,12.0,21.0,0.571,9.0,25.0,34.0,13.0,18.0,3.0,0.0,26.0,50.0,-19.0
21997.0,1611661316.0,HOU,Houston Comets,1029700027,1997-07-07,HOU vs. CHA,W,0.0,28.0,63.0,0.444,7.0,17.0,0.412,11.0,16.0,0.688,11.0,25.0,36.0,16.0,13.0,4.0,0.0,19.0,74.0,18.0,1611661314.0,CHA,Charlotte Sting,L,0.0,21.0,57.0,0.368,2.0,12.0,0.167,12.0,20.0,0.6,8.0,19.0,27.0,9.0,11.0,6.0,0.0,18.0,56.0,-18.0
21997.0,1611661320.0,LAS,Los Angeles Sparks,1029700029,1997-07-07,LAS vs. CLE,L,0.0,29.0,73.0,0.397,4.0,13.0,0.308,8.0,12.0,0.667,11.0,18.0,29.0,25.0,9.0,3.0,0.0,22.0,70.0,-11.0,1611661315.0,CLE,Cleveland Rockers,W,0.0,30.0,55.0,0.545,3.0,4.0,0.75,18.0,24.0,0.75,8.0,25.0,33.0,20.0,6.0,4.0,0.0,14.0,81.0,11.0
21997.0,1611661319.0,UTA,Utah Starzz,1029700028,1997-07-07,UTA vs. SAC,L,0.0,28.0,75.0,0.373,2.0,15.0,0.133,11.0,11.0,1.0,17.0,12.0,29.0,19.0,6.0,8.0,0.0,20.0,69.0,-10.0,1611661318.0,SAC,Sacramento Monarchs,W,0.0,32.0,67.0,0.478,5.0,15.0,0.333,10.0,14.0,0.714,16.0,22.0,38.0,22.0,9.0,4.0,0.0,15.0,79.0,10.0
21997.0,1611661314.0,CHA,Charlotte Sting,1029700031,1997-07-09,CHA vs. NYL,W,0.0,30.0,68.0,0.441,5.0,12.0,0.417,22.0,34.0,0.647,16.0,25.0,41.0,19.0,11.0,6.0,0.0,19.0,87.0,18.0,1611661313.0,NYL,New York Liberty,L,0.0,24.0,61.0,0.393,6.0,17.0,0.353,15.0,24.0,0.625,12.0,22.0,34.0,17.0,4.0,5.0,0.0,23.0,69.0,-18.0
21997.0,1611661317.0,PHO,Phoenix Mercury,1029700030,1997-07-09,PHO vs. HOU,W,0.0,22.0,57.0,0.386,2.0,13.0,0.154,23.0,29.0,0.793,15.0,20.0,35.0,18.0,11.0,4.0,0.0,22.0,69.0,5.0,1611661316.0,HOU,Houston Comets,L,0.0,20.0,56.0,0.357,5.0,17.0,0.294,19.0,23.0,0.826,12.0,15.0,27.0,9.0,12.0,1.0,0.0,24.0,64.0,-5.0
21997.0,1611661315.0,CLE,Cleveland Rockers,1029700032,1997-07-10,CLE vs. SAC,W,0.0,28.0,63.0,0.444,3.0,8.0,0.375,18.0,21.0,0.857,15.0,22.0,37.0,15.0,10.0,0.0,0.0,16.0,77.0,16.0,1611661318.0,SAC,Sacramento Monarchs,L,0.0,22.0,65.0,0.338,6.0,19.0,0.316,11.0,15.0,0.733,18.0,11.0,29.0,13.0,10.0,1.0,0.0,23.0,61.0,-16.0
