,Unnamed: 0,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1167,1,2022200317,1612709911,Iowa,Wolves,IWA,wolves,240:00,118.0,117.8,139.0,135.8,-21.0,-18.0,0.605,1.44,18.5,0.245,0.615,0.436,16.854,16.8,0.574,0.651,1.0,0.207,106.64,108.0,90.0,107.0,0.421
1168,0,22200909,1610612762,Utah,Jazz,UTA,jazz,240:00,112.0,115.7,95.1,99.0,16.9,16.7,0.674,1.81,19.4,0.327,0.733,0.545,15.192,15.7,0.522,0.566,1.0,0.194,106.28,102.5,85.42,102.0,0.618
1169,1,22200909,1610612759,San Antonio,Spurs,SAS,spurs,240:00,95.1,99.0,112.0,115.7,-16.9,-16.7,0.553,2.1,15.3,0.267,0.673,0.455,9.325,9.7,0.438,0.48,1.0,0.198,106.28,102.5,85.42,103.0,0.382
1170,0,22200908,1610612755,Philadelphia,76ers,PHI,sixers,240:00,112.2,110.3,115.4,114.6,-3.3,-4.3,0.543,1.9,15.5,0.234,0.778,0.5,10.482,10.3,0.506,0.573,1.0,0.201,95.34,96.5,80.42,97.0,0.513
1171,1,22200908,1610612738,Boston,Celtics,BOS,celtics,240:00,115.4,114.6,112.2,110.3,3.3,4.3,0.465,1.54,16.1,0.222,0.766,0.5,13.644,13.5,0.593,0.603,1.0,0.198,95.34,96.5,80.42,96.0,0.487
1172,0,2022200316,1612709932,Motor City,Cruise,MCC,cruise,240:00,95.2,87.9,109.5,105.1,-14.3,-17.2,0.615,1.14,13.3,0.254,0.841,0.495,15.324,14.1,0.39,0.481,1.0,0.211,93.16,99.0,82.5,99.0,0.358
1173,1,2022200316,1612709920,Raptors,905,RAP,905,240:00,109.5,105.1,95.2,87.9,14.3,17.2,0.711,1.8,21.3,0.159,0.746,0.505,15.796,15.2,0.556,0.612,1.0,0.206,93.16,99.0,82.5,99.0,0.642
1174,0,2022200314,1612709893,Cleveland,Charge,CLC,charge,240:00,117.8,114.6,110.9,114.8,6.8,-0.2,0.459,1.31,15.4,0.268,0.517,0.414,15.012,14.6,0.568,0.633,1.0,0.209,88.82,88.5,73.75,89.0,0.521
1175,1,2022200314,1612709925,Osceola,Magic,OSC,magic,240:00,110.9,114.8,117.8,114.6,-6.8,0.2,0.583,1.5,15.9,0.483,0.732,0.586,15.378,15.9,0.472,0.52,1.0,0.204,88.82,88.5,73.75,88.0,0.479
1176,0,2022200319,1612709902,Santa Cruz,Warriors,SCW,warriors,240:00,118.0,109.8,124.5,116.7,-6.5,-6.9,0.639,1.44,16.9,0.345,0.625,0.482,16.856,15.7,0.5,0.578,1.0,0.213,95.26,102.0,85.0,102.0,0.475
