,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS
1391,ATL,W,17,4,2,2,2,2,113.7,ORL,15,6,5,1,1,1,110.1
1392,SBL,L,12,9,4,0,0,0,124.8,MNE,10,5,2,0,0,0,118.8
1393,PHX,W,19,4,2,2,2,2,116.2,LAL,14,6,3,0,0,0,121.5
1394,OKC,W,17,4,1,0,0,0,112.7,POR,18,6,4,0,0,0,117.5
1395,MIN,W,19,5,2,0,0,0,118.3,DAL,17,5,2,0,0,0,115.2
1396,CLE,W,21,7,4,0,0,0,105.6,UTA,18,5,2,0,0,0,117.4
1397,RGV,L,12,9,4,0,0,0,117.8,WCB,10,5,3,0,0,0,114.2
1398,BOS,L,24,6,2,1,1,1,116.5,ORL,14,5,5,1,1,1,110.8
1399,TOR,L,16,3,1,0,0,0,111.7,GSW,17,4,1,0,0,0,117.5
1400,LAL,W,13,5,2,1,1,1,121.1,WAS,12,1,0,0,0,0,113.4
1401,MIN,W,18,4,2,0,0,0,114.7,CHI,14,3,2,0,0,0,115.0
1402,IND,L,17,3,2,1,1,1,113.3,NYK,19,7,5,1,1,1,114.6
1403,DET,L,8,3,1,0,0,0,113.5,BKN,20,9,5,0,0,0,114.8
1404,DEN,W,20,6,3,0,0,0,117.8,CHA,7,2,0,0,0,0,111.6
1405,HOU,L,12,5,3,0,0,0,111.1,POR,17,5,3,1,1,1,116.5
1406,LAC,W,19,5,3,1,1,1,108.7,WAS,12,1,0,0,0,0,116.2
1407,SAS,L,10,3,3,1,1,1,110.4,MIA,19,6,4,0,0,0,107.0
1408,OKC,W,16,3,0,0,0,0,111.7,MEM,22,9,5,2,2,2,120.7
1409,MIL,W,20,7,3,0,0,0,112.9,UTA,18,5,3,0,0,0,118.9
1410,SBL,W,11,9,4,1,1,1,123.7,STO,7,6,3,1,1,1,111.9
1411,WCB,W,9,5,3,0,0,0,112.8,GRG,3,2,1,1,1,1,103.3
1412,CLE,W,20,6,3,1,1,1,104.4,DAL,17,6,2,0,0,0,116.9
1413,MHU,L,9,7,4,1,1,1,117.0,BIR,5,4,1,1,1,1,105.9
1414,PHX,W,18,4,1,1,1,1,116.6,NOP,22,7,3,2,2,2,117.0
1415,LAK,W,6,3,1,0,0,0,113.7,TEX,7,4,2,2,2,2,123.3
1416,WCB,L,9,6,3,0,0,0,114.6,GRG,2,2,0,0,0,0,104.9
1417,MXC,W,9,6,3,1,1,1,110.9,AUS,5,2,1,1,1,1,105.1
1418,MHU,W,8,6,4,1,1,1,117.7,RGV,12,9,5,1,1,1,117.7
1419,SCW,L,8,6,4,1,1,1,111.1,GLI,3,2,0,1,1,1,102.7
1420,PHI,W,19,6,3,0,0,0,114.9,GSW,17,5,1,0,0,0,119.8
1421,DAL,W,16,5,2,1,1,1,115.4,POR,17,6,4,0,0,0,118.7
1422,CLE,W,19,6,3,0,0,0,102.8,IND,17,4,2,0,0,0,113.7
1423,WES,L,6,5,3,1,1,1,111.8,DEL,5,3,0,0,0,0,116.7
1424,LAL,W,12,5,1,1,1,1,122.8,DEN,20,7,3,1,1,1,120.1
1425,CHI,L,14,4,2,0,0,0,117.7,NYK,18,6,5,1,1,1,116.1
1426,CHA,L,7,3,0,1,1,1,111.7,ATL,16,3,1,0,0,0,111.0
1427,RAP,L,7,3,3,0,0,0,113.4,CPS,11,8,5,1,1,1,118.0
1428,DET,L,8,3,2,0,0,0,112.4,SAC,19,5,2,1,1,1,113.6
1429,TOR,L,16,4,1,0,0,0,110.6,BKN,19,8,4,3,3,3,114.6
1430,WIS,L,6,4,1,0,0,0,111.1,FWN,9,6,2,1,1,1,118.8
1431,BOS,L,24,7,3,1,1,1,118.6,ORL,13,4,4,0,0,0,109.4
1432,OKC,L,16,4,1,1,1,1,113.0,MIN,17,3,2,2,2,2,114.3
1433,LIN,W,9,8,4,2,2,2,112.9,WES,6,6,4,0,0,0,112.7
1434,HOU,L,12,6,3,0,0,0,113.1,MIA,18,6,3,1,1,1,106.9
1435,UTA,W,17,4,2,2,2,2,117.5,NOP,22,8,4,0,0,0,117.0
1436,IWA,W,10,8,3,0,0,0,119.7,CLC,11,7,5,1,1,1,111.1
1437,ACC,L,12,8,4,2,2,2,109.7,SBL,10,8,4,0,0,0,120.2
1438,LAC,L,19,6,3,0,0,0,110.6,PHX,17,4,0,1,1,1,116.8
1439,MEM,W,21,8,5,1,1,1,117.4,MIL,20,8,4,0,0,0,114.5
1440,LAK,W,5,3,1,2,2,2,116.7,BIR,5,5,1,0,0,0,106.7
1441,MNE,W,9,4,1,0,0,0,114.5,GBO,6,4,3,1,1,1,108.0
