,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,H_AVG_FG_PCT,H_AVG_FGA,H_AVG_FG3M,H_AVG_FTM,H_AVG_DREB,H_AVG_OREB,H_AVG_REB,H_AVG_STL,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS,A_AVG_FG_PCT,A_AVG_FGA,A_AVG_FG3M,A_AVG_FTM,A_AVG_DREB,A_AVG_OREB,A_AVG_REB,A_AVG_STL
1177,SXF,W,7,3,2,0,0,0,108.3125,0.481125,82.9375,10.625,11.25,33.875,9.75,43.625,7.125,TEX,9,7,3,1,1,1,116.4,0.46760000000000007,95.0,11.933333333333334,9.6,32.6,13.733333333333333,46.333333333333336,11.533333333333333
1178,NAS,L,3,0,0,0,0,0,107.33333333333333,0.4522,85.8,11.8,11.0,32.666666666666664,9.4,42.06666666666667,7.133333333333334,SLC,10,10,5,1,1,1,110.0,0.4718333333333333,85.66666666666667,12.416666666666666,10.75,35.083333333333336,10.0,45.083333333333336,10.583333333333334
1179,MEM,W,12,4,3,0,0,0,111.25,0.46749999999999997,90.05,12.25,15.1,35.25,8.95,44.2,8.0,MIA,23,7,4,1,1,1,110.6,0.4707,83.55,12.3,19.8,35.65,8.85,44.5,7.85
1180,HOU,W,21,6,3,0,0,0,119.75,0.45694999999999997,90.8,16.35,20.7,36.95,11.8,48.75,8.65,SAS,12,5,3,2,2,2,110.85,0.4617499999999999,91.65,9.05,17.4,35.4,9.7,45.1,7.05
1181,OKC,W,13,6,3,0,0,0,108.85,0.47030000000000005,83.9,10.45,19.4,33.5,7.15,40.65,7.5,CHI,12,4,2,0,0,0,105.3,0.42984999999999995,88.25,12.6,17.1,34.0,10.35,44.35,10.05
1182,FWN,W,5,5,3,0,0,0,105.4,0.4466666666666666,88.26666666666667,9.666666666666666,10.866666666666667,34.2,11.933333333333334,46.13333333333333,7.666666666666667,WIS,12,10,5,0,0,0,119.78571428571429,0.4549285714285714,93.64285714285714,14.5,12.785714285714286,43.0,14.0,57.0,6.714285714285714
1183,MIL,L,29,10,5,1,1,1,121.15,0.4895500000000001,90.75,13.8,18.75,40.65,10.55,51.2,8.05,DAL,19,7,3,0,0,0,119.2,0.4713,90.2,15.25,18.65,37.1,10.6,47.7,6.25
1184,DET,L,14,6,3,0,0,0,109.35,0.46529999999999994,85.9,13.1,16.35,33.7,9.75,43.45,6.65,WAS,10,2,1,1,1,1,117.05,0.46789999999999987,93.1,12.45,17.5,30.75,10.1,40.85,7.75
1185,TOR,W,19,6,2,0,0,0,109.85,0.44194999999999995,88.85,13.45,17.9,35.45,10.3,45.75,8.7,CLE,7,1,1,0,0,0,102.85,0.43715000000000004,88.1,10.75,15.2,31.8,11.0,42.8,7.6
1186,PHX,L,13,3,2,1,1,1,115.55,0.45990000000000003,90.7,12.75,19.5,33.05,9.25,42.3,7.25,POR,12,5,2,0,0,0,111.8,0.4472500000000001,92.9,12.15,16.85,35.9,10.8,46.7,5.6
1187,LAK,L,8,5,3,0,0,0,101.28571428571429,0.44614285714285706,85.78571428571429,11.214285714285714,8.0,34.42857142857143,9.142857142857142,43.57142857142857,8.928571428571429,LIN,3,2,2,0,0,0,111.38461538461539,0.44846153846153847,91.23076923076923,14.0,9.923076923076923,39.38461538461539,9.307692307692308,48.69230769230769,6.769230769230769
1188,GSW,L,7,2,1,0,0,0,103.0,0.4325,88.6,8.85,17.75,32.75,10.5,43.25,8.5,SAC,14,4,3,0,0,0,106.65,0.46129999999999993,86.85,12.7,14.25,32.15,9.6,41.75,7.75
1189,BKN,W,16,6,3,0,0,0,109.85,0.44564999999999994,90.65,12.35,16.7,36.05,11.0,47.05,6.6,PHI,24,9,5,0,0,0,109.2,0.48389999999999994,84.7,11.05,16.25,36.8,9.1,45.9,7.85
1190,IND,W,20,7,3,0,0,0,110.6,0.47965,89.65,10.2,14.8,35.25,9.1,44.35,6.7,CHA,13,6,3,1,1,1,105.2,0.4381500000000001,86.45,13.35,16.15,31.7,10.85,42.55,6.85
